"","Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"1","LP001002","Male","No","0","Graduate","No",5849,0,NA,360,1,"Urban","Y"
"2","LP001003","Male","Yes","1","Graduate","No",4583,1508,128,360,1,"Rural","N"
"3","LP001005","Male","Yes","0","Graduate","Yes",3000,0,66,360,1,"Urban","Y"
"4","LP001006","Male","Yes","0","Not Graduate","No",2583,2358,120,360,1,"Urban","Y"
"5","LP001008","Male","No","0","Graduate","No",6000,0,141,360,1,"Urban","Y"
"6","LP001011","Male","Yes","2","Graduate","Yes",5417,4196,267,360,1,"Urban","Y"
"7","LP001013","Male","Yes","0","Not Graduate","No",2333,1516,95,360,1,"Urban","Y"
"8","LP001014","Male","Yes","3+","Graduate","No",3036,2504,158,360,0,"Semiurban","N"
"9","LP001018","Male","Yes","2","Graduate","No",4006,1526,168,360,1,"Urban","Y"
"10","LP001020","Male","Yes","1","Graduate","No",12841,10968,349,360,1,"Semiurban","N"
"11","LP001024","Male","Yes","2","Graduate","No",3200,700,70,360,1,"Urban","Y"
"12","LP001027","Male","Yes","2","Graduate","",2500,1840,109,360,1,"Urban","Y"
"13","LP001028","Male","Yes","2","Graduate","No",3073,8106,200,360,1,"Urban","Y"
"14","LP001029","Male","No","0","Graduate","No",1853,2840,114,360,1,"Rural","N"
"15","LP001030","Male","Yes","2","Graduate","No",1299,1086,17,120,1,"Urban","Y"
"16","LP001032","Male","No","0","Graduate","No",4950,0,125,360,1,"Urban","Y"
"17","LP001034","Male","No","1","Not Graduate","No",3596,0,100,240,NA,"Urban","Y"
"18","LP001036","Female","No","0","Graduate","No",3510,0,76,360,0,"Urban","N"
"19","LP001038","Male","Yes","0","Not Graduate","No",4887,0,133,360,1,"Rural","N"
"20","LP001041","Male","Yes","0","Graduate","",2600,3500,115,NA,1,"Urban","Y"
"21","LP001043","Male","Yes","0","Not Graduate","No",7660,0,104,360,0,"Urban","N"
"22","LP001046","Male","Yes","1","Graduate","No",5955,5625,315,360,1,"Urban","Y"
"23","LP001047","Male","Yes","0","Not Graduate","No",2600,1911,116,360,0,"Semiurban","N"
"24","LP001050","","Yes","2","Not Graduate","No",3365,1917,112,360,0,"Rural","N"
"25","LP001052","Male","Yes","1","Graduate","",3717,2925,151,360,NA,"Semiurban","N"
"26","LP001066","Male","Yes","0","Graduate","Yes",9560,0,191,360,1,"Semiurban","Y"
"27","LP001068","Male","Yes","0","Graduate","No",2799,2253,122,360,1,"Semiurban","Y"
"28","LP001073","Male","Yes","2","Not Graduate","No",4226,1040,110,360,1,"Urban","Y"
"29","LP001086","Male","No","0","Not Graduate","No",1442,0,35,360,1,"Urban","N"
"30","LP001087","Female","No","2","Graduate","",3750,2083,120,360,1,"Semiurban","Y"
"31","LP001091","Male","Yes","1","Graduate","",4166,3369,201,360,NA,"Urban","N"
"32","LP001095","Male","No","0","Graduate","No",3167,0,74,360,1,"Urban","N"
"33","LP001097","Male","No","1","Graduate","Yes",4692,0,106,360,1,"Rural","N"
"34","LP001098","Male","Yes","0","Graduate","No",3500,1667,114,360,1,"Semiurban","Y"
"35","LP001100","Male","No","3+","Graduate","No",12500,3000,320,360,1,"Rural","N"
"36","LP001106","Male","Yes","0","Graduate","No",2275,2067,NA,360,1,"Urban","Y"
"37","LP001109","Male","Yes","0","Graduate","No",1828,1330,100,NA,0,"Urban","N"
"38","LP001112","Female","Yes","0","Graduate","No",3667,1459,144,360,1,"Semiurban","Y"
"39","LP001114","Male","No","0","Graduate","No",4166,7210,184,360,1,"Urban","Y"
"40","LP001116","Male","No","0","Not Graduate","No",3748,1668,110,360,1,"Semiurban","Y"
"41","LP001119","Male","No","0","Graduate","No",3600,0,80,360,1,"Urban","N"
"42","LP001120","Male","No","0","Graduate","No",1800,1213,47,360,1,"Urban","Y"
"43","LP001123","Male","Yes","0","Graduate","No",2400,0,75,360,NA,"Urban","Y"
"44","LP001131","Male","Yes","0","Graduate","No",3941,2336,134,360,1,"Semiurban","Y"
"45","LP001136","Male","Yes","0","Not Graduate","Yes",4695,0,96,NA,1,"Urban","Y"
"46","LP001137","Female","No","0","Graduate","No",3410,0,88,NA,1,"Urban","Y"
"47","LP001138","Male","Yes","1","Graduate","No",5649,0,44,360,1,"Urban","Y"
"48","LP001144","Male","Yes","0","Graduate","No",5821,0,144,360,1,"Urban","Y"
"49","LP001146","Female","Yes","0","Graduate","No",2645,3440,120,360,0,"Urban","N"
"50","LP001151","Female","No","0","Graduate","No",4000,2275,144,360,1,"Semiurban","Y"
"51","LP001155","Female","Yes","0","Not Graduate","No",1928,1644,100,360,1,"Semiurban","Y"
"52","LP001157","Female","No","0","Graduate","No",3086,0,120,360,1,"Semiurban","Y"
"53","LP001164","Female","No","0","Graduate","No",4230,0,112,360,1,"Semiurban","N"
"54","LP001179","Male","Yes","2","Graduate","No",4616,0,134,360,1,"Urban","N"
"55","LP001186","Female","Yes","1","Graduate","Yes",11500,0,286,360,0,"Urban","N"
"56","LP001194","Male","Yes","2","Graduate","No",2708,1167,97,360,1,"Semiurban","Y"
"57","LP001195","Male","Yes","0","Graduate","No",2132,1591,96,360,1,"Semiurban","Y"
"58","LP001197","Male","Yes","0","Graduate","No",3366,2200,135,360,1,"Rural","N"
"59","LP001198","Male","Yes","1","Graduate","No",8080,2250,180,360,1,"Urban","Y"
"60","LP001199","Male","Yes","2","Not Graduate","No",3357,2859,144,360,1,"Urban","Y"
"61","LP001205","Male","Yes","0","Graduate","No",2500,3796,120,360,1,"Urban","Y"
"62","LP001206","Male","Yes","3+","Graduate","No",3029,0,99,360,1,"Urban","Y"
"63","LP001207","Male","Yes","0","Not Graduate","Yes",2609,3449,165,180,0,"Rural","N"
"64","LP001213","Male","Yes","1","Graduate","No",4945,0,NA,360,0,"Rural","N"
"65","LP001222","Female","No","0","Graduate","No",4166,0,116,360,0,"Semiurban","N"
"66","LP001225","Male","Yes","0","Graduate","No",5726,4595,258,360,1,"Semiurban","N"
"67","LP001228","Male","No","0","Not Graduate","No",3200,2254,126,180,0,"Urban","N"
"68","LP001233","Male","Yes","1","Graduate","No",10750,0,312,360,1,"Urban","Y"
"69","LP001238","Male","Yes","3+","Not Graduate","Yes",7100,0,125,60,1,"Urban","Y"
"70","LP001241","Female","No","0","Graduate","No",4300,0,136,360,0,"Semiurban","N"
"71","LP001243","Male","Yes","0","Graduate","No",3208,3066,172,360,1,"Urban","Y"
"72","LP001245","Male","Yes","2","Not Graduate","Yes",1875,1875,97,360,1,"Semiurban","Y"
"73","LP001248","Male","No","0","Graduate","No",3500,0,81,300,1,"Semiurban","Y"
"74","LP001250","Male","Yes","3+","Not Graduate","No",4755,0,95,NA,0,"Semiurban","N"
"75","LP001253","Male","Yes","3+","Graduate","Yes",5266,1774,187,360,1,"Semiurban","Y"
"76","LP001255","Male","No","0","Graduate","No",3750,0,113,480,1,"Urban","N"
"77","LP001256","Male","No","0","Graduate","No",3750,4750,176,360,1,"Urban","N"
"78","LP001259","Male","Yes","1","Graduate","Yes",1000,3022,110,360,1,"Urban","N"
"79","LP001263","Male","Yes","3+","Graduate","No",3167,4000,180,300,0,"Semiurban","N"
"80","LP001264","Male","Yes","3+","Not Graduate","Yes",3333,2166,130,360,NA,"Semiurban","Y"
"81","LP001265","Female","No","0","Graduate","No",3846,0,111,360,1,"Semiurban","Y"
"82","LP001266","Male","Yes","1","Graduate","Yes",2395,0,NA,360,1,"Semiurban","Y"
"83","LP001267","Female","Yes","2","Graduate","No",1378,1881,167,360,1,"Urban","N"
"84","LP001273","Male","Yes","0","Graduate","No",6000,2250,265,360,NA,"Semiurban","N"
"85","LP001275","Male","Yes","1","Graduate","No",3988,0,50,240,1,"Urban","Y"
"86","LP001279","Male","No","0","Graduate","No",2366,2531,136,360,1,"Semiurban","Y"
"87","LP001280","Male","Yes","2","Not Graduate","No",3333,2000,99,360,NA,"Semiurban","Y"
"88","LP001282","Male","Yes","0","Graduate","No",2500,2118,104,360,1,"Semiurban","Y"
"89","LP001289","Male","No","0","Graduate","No",8566,0,210,360,1,"Urban","Y"
"90","LP001310","Male","Yes","0","Graduate","No",5695,4167,175,360,1,"Semiurban","Y"
"91","LP001316","Male","Yes","0","Graduate","No",2958,2900,131,360,1,"Semiurban","Y"
"92","LP001318","Male","Yes","2","Graduate","No",6250,5654,188,180,1,"Semiurban","Y"
"93","LP001319","Male","Yes","2","Not Graduate","No",3273,1820,81,360,1,"Urban","Y"
"94","LP001322","Male","No","0","Graduate","No",4133,0,122,360,1,"Semiurban","Y"
"95","LP001325","Male","No","0","Not Graduate","No",3620,0,25,120,1,"Semiurban","Y"
"96","LP001326","Male","No","0","Graduate","",6782,0,NA,360,NA,"Urban","N"
"97","LP001327","Female","Yes","0","Graduate","No",2484,2302,137,360,1,"Semiurban","Y"
"98","LP001333","Male","Yes","0","Graduate","No",1977,997,50,360,1,"Semiurban","Y"
"99","LP001334","Male","Yes","0","Not Graduate","No",4188,0,115,180,1,"Semiurban","Y"
"100","LP001343","Male","Yes","0","Graduate","No",1759,3541,131,360,1,"Semiurban","Y"
"101","LP001345","Male","Yes","2","Not Graduate","No",4288,3263,133,180,1,"Urban","Y"
"102","LP001349","Male","No","0","Graduate","No",4843,3806,151,360,1,"Semiurban","Y"
"103","LP001350","Male","Yes","","Graduate","No",13650,0,NA,360,1,"Urban","Y"
"104","LP001356","Male","Yes","0","Graduate","No",4652,3583,NA,360,1,"Semiurban","Y"
"105","LP001357","Male","","","Graduate","No",3816,754,160,360,1,"Urban","Y"
"106","LP001367","Male","Yes","1","Graduate","No",3052,1030,100,360,1,"Urban","Y"
"107","LP001369","Male","Yes","2","Graduate","No",11417,1126,225,360,1,"Urban","Y"
"108","LP001370","Male","No","0","Not Graduate","",7333,0,120,360,1,"Rural","N"
"109","LP001379","Male","Yes","2","Graduate","No",3800,3600,216,360,0,"Urban","N"
"110","LP001384","Male","Yes","3+","Not Graduate","No",2071,754,94,480,1,"Semiurban","Y"
"111","LP001385","Male","No","0","Graduate","No",5316,0,136,360,1,"Urban","Y"
"112","LP001387","Female","Yes","0","Graduate","",2929,2333,139,360,1,"Semiurban","Y"
"113","LP001391","Male","Yes","0","Not Graduate","No",3572,4114,152,NA,0,"Rural","N"
"114","LP001392","Female","No","1","Graduate","Yes",7451,0,NA,360,1,"Semiurban","Y"
"115","LP001398","Male","No","0","Graduate","",5050,0,118,360,1,"Semiurban","Y"
"116","LP001401","Male","Yes","1","Graduate","No",14583,0,185,180,1,"Rural","Y"
"117","LP001404","Female","Yes","0","Graduate","No",3167,2283,154,360,1,"Semiurban","Y"
"118","LP001405","Male","Yes","1","Graduate","No",2214,1398,85,360,NA,"Urban","Y"
"119","LP001421","Male","Yes","0","Graduate","No",5568,2142,175,360,1,"Rural","N"
"120","LP001422","Female","No","0","Graduate","No",10408,0,259,360,1,"Urban","Y"
"121","LP001426","Male","Yes","","Graduate","No",5667,2667,180,360,1,"Rural","Y"
"122","LP001430","Female","No","0","Graduate","No",4166,0,44,360,1,"Semiurban","Y"
"123","LP001431","Female","No","0","Graduate","No",2137,8980,137,360,0,"Semiurban","Y"
"124","LP001432","Male","Yes","2","Graduate","No",2957,0,81,360,1,"Semiurban","Y"
"125","LP001439","Male","Yes","0","Not Graduate","No",4300,2014,194,360,1,"Rural","Y"
"126","LP001443","Female","No","0","Graduate","No",3692,0,93,360,NA,"Rural","Y"
"127","LP001448","","Yes","3+","Graduate","No",23803,0,370,360,1,"Rural","Y"
"128","LP001449","Male","No","0","Graduate","No",3865,1640,NA,360,1,"Rural","Y"
"129","LP001451","Male","Yes","1","Graduate","Yes",10513,3850,160,180,0,"Urban","N"
"130","LP001465","Male","Yes","0","Graduate","No",6080,2569,182,360,NA,"Rural","N"
"131","LP001469","Male","No","0","Graduate","Yes",20166,0,650,480,NA,"Urban","Y"
"132","LP001473","Male","No","0","Graduate","No",2014,1929,74,360,1,"Urban","Y"
"133","LP001478","Male","No","0","Graduate","No",2718,0,70,360,1,"Semiurban","Y"
"134","LP001482","Male","Yes","0","Graduate","Yes",3459,0,25,120,1,"Semiurban","Y"
"135","LP001487","Male","No","0","Graduate","No",4895,0,102,360,1,"Semiurban","Y"
"136","LP001488","Male","Yes","3+","Graduate","No",4000,7750,290,360,1,"Semiurban","N"
"137","LP001489","Female","Yes","0","Graduate","No",4583,0,84,360,1,"Rural","N"
"138","LP001491","Male","Yes","2","Graduate","Yes",3316,3500,88,360,1,"Urban","Y"
"139","LP001492","Male","No","0","Graduate","No",14999,0,242,360,0,"Semiurban","N"
"140","LP001493","Male","Yes","2","Not Graduate","No",4200,1430,129,360,1,"Rural","N"
"141","LP001497","Male","Yes","2","Graduate","No",5042,2083,185,360,1,"Rural","N"
"142","LP001498","Male","No","0","Graduate","No",5417,0,168,360,1,"Urban","Y"
"143","LP001504","Male","No","0","Graduate","Yes",6950,0,175,180,1,"Semiurban","Y"
"144","LP001507","Male","Yes","0","Graduate","No",2698,2034,122,360,1,"Semiurban","Y"
"145","LP001508","Male","Yes","2","Graduate","No",11757,0,187,180,1,"Urban","Y"
"146","LP001514","Female","Yes","0","Graduate","No",2330,4486,100,360,1,"Semiurban","Y"
"147","LP001516","Female","Yes","2","Graduate","No",14866,0,70,360,1,"Urban","Y"
"148","LP001518","Male","Yes","1","Graduate","No",1538,1425,30,360,1,"Urban","Y"
"149","LP001519","Female","No","0","Graduate","No",10000,1666,225,360,1,"Rural","N"
"150","LP001520","Male","Yes","0","Graduate","No",4860,830,125,360,1,"Semiurban","Y"
"151","LP001528","Male","No","0","Graduate","No",6277,0,118,360,0,"Rural","N"
"152","LP001529","Male","Yes","0","Graduate","Yes",2577,3750,152,360,1,"Rural","Y"
"153","LP001531","Male","No","0","Graduate","No",9166,0,244,360,1,"Urban","N"
"154","LP001532","Male","Yes","2","Not Graduate","No",2281,0,113,360,1,"Rural","N"
"155","LP001535","Male","No","0","Graduate","No",3254,0,50,360,1,"Urban","Y"
"156","LP001536","Male","Yes","3+","Graduate","No",39999,0,600,180,0,"Semiurban","Y"
"157","LP001541","Male","Yes","1","Graduate","No",6000,0,160,360,NA,"Rural","Y"
"158","LP001543","Male","Yes","1","Graduate","No",9538,0,187,360,1,"Urban","Y"
"159","LP001546","Male","No","0","Graduate","",2980,2083,120,360,1,"Rural","Y"
"160","LP001552","Male","Yes","0","Graduate","No",4583,5625,255,360,1,"Semiurban","Y"
"161","LP001560","Male","Yes","0","Not Graduate","No",1863,1041,98,360,1,"Semiurban","Y"
"162","LP001562","Male","Yes","0","Graduate","No",7933,0,275,360,1,"Urban","N"
"163","LP001565","Male","Yes","1","Graduate","No",3089,1280,121,360,0,"Semiurban","N"
"164","LP001570","Male","Yes","2","Graduate","No",4167,1447,158,360,1,"Rural","Y"
"165","LP001572","Male","Yes","0","Graduate","No",9323,0,75,180,1,"Urban","Y"
"166","LP001574","Male","Yes","0","Graduate","No",3707,3166,182,NA,1,"Rural","Y"
"167","LP001577","Female","Yes","0","Graduate","No",4583,0,112,360,1,"Rural","N"
"168","LP001578","Male","Yes","0","Graduate","No",2439,3333,129,360,1,"Rural","Y"
"169","LP001579","Male","No","0","Graduate","No",2237,0,63,480,0,"Semiurban","N"
"170","LP001580","Male","Yes","2","Graduate","No",8000,0,200,360,1,"Semiurban","Y"
"171","LP001581","Male","Yes","0","Not Graduate","",1820,1769,95,360,1,"Rural","Y"
"172","LP001585","","Yes","3+","Graduate","No",51763,0,700,300,1,"Urban","Y"
"173","LP001586","Male","Yes","3+","Not Graduate","No",3522,0,81,180,1,"Rural","N"
"174","LP001594","Male","Yes","0","Graduate","No",5708,5625,187,360,1,"Semiurban","Y"
"175","LP001603","Male","Yes","0","Not Graduate","Yes",4344,736,87,360,1,"Semiurban","N"
"176","LP001606","Male","Yes","0","Graduate","No",3497,1964,116,360,1,"Rural","Y"
"177","LP001608","Male","Yes","2","Graduate","No",2045,1619,101,360,1,"Rural","Y"
"178","LP001610","Male","Yes","3+","Graduate","No",5516,11300,495,360,0,"Semiurban","N"
"179","LP001616","Male","Yes","1","Graduate","No",3750,0,116,360,1,"Semiurban","Y"
"180","LP001630","Male","No","0","Not Graduate","No",2333,1451,102,480,0,"Urban","N"
"181","LP001633","Male","Yes","1","Graduate","No",6400,7250,180,360,0,"Urban","N"
"182","LP001634","Male","No","0","Graduate","No",1916,5063,67,360,NA,"Rural","N"
"183","LP001636","Male","Yes","0","Graduate","No",4600,0,73,180,1,"Semiurban","Y"
"184","LP001637","Male","Yes","1","Graduate","No",33846,0,260,360,1,"Semiurban","N"
"185","LP001639","Female","Yes","0","Graduate","No",3625,0,108,360,1,"Semiurban","Y"
"186","LP001640","Male","Yes","0","Graduate","Yes",39147,4750,120,360,1,"Semiurban","Y"
"187","LP001641","Male","Yes","1","Graduate","Yes",2178,0,66,300,0,"Rural","N"
"188","LP001643","Male","Yes","0","Graduate","No",2383,2138,58,360,NA,"Rural","Y"
"189","LP001644","","Yes","0","Graduate","Yes",674,5296,168,360,1,"Rural","Y"
"190","LP001647","Male","Yes","0","Graduate","No",9328,0,188,180,1,"Rural","Y"
"191","LP001653","Male","No","0","Not Graduate","No",4885,0,48,360,1,"Rural","Y"
"192","LP001656","Male","No","0","Graduate","No",12000,0,164,360,1,"Semiurban","N"
"193","LP001657","Male","Yes","0","Not Graduate","No",6033,0,160,360,1,"Urban","N"
"194","LP001658","Male","No","0","Graduate","No",3858,0,76,360,1,"Semiurban","Y"
"195","LP001664","Male","No","0","Graduate","No",4191,0,120,360,1,"Rural","Y"
"196","LP001665","Male","Yes","1","Graduate","No",3125,2583,170,360,1,"Semiurban","N"
"197","LP001666","Male","No","0","Graduate","No",8333,3750,187,360,1,"Rural","Y"
"198","LP001669","Female","No","0","Not Graduate","No",1907,2365,120,NA,1,"Urban","Y"
"199","LP001671","Female","Yes","0","Graduate","No",3416,2816,113,360,NA,"Semiurban","Y"
"200","LP001673","Male","No","0","Graduate","Yes",11000,0,83,360,1,"Urban","N"
"201","LP001674","Male","Yes","1","Not Graduate","No",2600,2500,90,360,1,"Semiurban","Y"
"202","LP001677","Male","No","2","Graduate","No",4923,0,166,360,0,"Semiurban","Y"
"203","LP001682","Male","Yes","3+","Not Graduate","No",3992,0,NA,180,1,"Urban","N"
"204","LP001688","Male","Yes","1","Not Graduate","No",3500,1083,135,360,1,"Urban","Y"
